date,total_house_usage,Temperature,Humidity,Visibility,Pressure,Wind speed,Wind bearing,Percipitation intensity,Cloud cover,Summary,Month,Day,Weekday,is_weekend,Quarter,Season,is_holiday,total_house_usage_log
2016-06-01,666.796066436,69.64244444444444,0.6647638888888889,9.700986111111112,1002.4872777777778,5.883875000000001,223.90833333333333,0.0007280555555555,0.1954305555555555,Clear,6,1,Wednesday,0,2,Summer,0,6.503982837159771
2016-06-02,647.596719054,66.83608333333333,0.6471388888888889,9.876291666666669,998.576375,7.389611111111112,275.22222222222223,0.0047094444444444,0.1761111111111111,Clear,6,2,Thursday,0,2,Summer,0,6.474811135355952
2016-06-03,574.491703346,58.36190277777778,0.590375,9.95247222222222,1003.1887361111112,12.482222222222225,289.5597222222222,0.0008699999999999,0.2499722222222222,Clear,6,3,Friday,0,2,Summer,0,6.355224811630565
2016-06-04,1012.97341906,57.750194444444446,0.4995277777777778,10.0,1009.193625,12.38627777777778,296.99583333333334,0.0,0.1319722222222222,Clear,6,4,Saturday,1,2,Summer,0,6.921631969862764
2016-06-05,920.653851614,60.03409722222223,0.5635694444444445,9.950458333333334,1015.2267777777778,6.1786111111111115,246.7888888888889,0.0,0.0703611111111111,Clear,6,5,Sunday,1,2,Summer,0,6.826169720975386
2016-06-06,720.330100169,62.555458333333334,0.8196666666666667,7.285277777777777,1005.8594722222222,5.72125,210.13333333333333,0.0117651388888888,0.3203888888888889,Clear,6,6,Monday,0,2,Summer,0,6.58109686908258
2016-06-07,656.68468693,59.039763888888885,0.580875,10.0,1006.4279861111112,13.68425,314.9166666666667,6.444444444444444e-05,0.2518055555555555,Clear,6,7,Tuesday,0,2,Summer,0,6.4887256172781616
2016-06-08,750.478799992,60.36772222222223,0.6149027777777778,9.98751388888889,1009.3735972222222,10.357513888888889,309.67083333333335,0.0002497222222222,0.1210972222222222,Clear,6,8,Wednesday,0,2,Summer,0,6.6220429985382925
2016-06-09,660.203767588,66.2603888888889,0.5678194444444444,9.981,1012.774125,7.177347222222223,292.00416666666666,0.0,0.0638611111111111,Clear,6,9,Thursday,0,2,Summer,0,6.494062064037108
2016-06-10,643.335583789,70.22070833333333,0.5835972222222222,9.98838888888889,1009.7325972222222,3.827791666666667,154.8388888888889,7.652777777777778e-05,0.083375,Clear,6,10,Friday,0,2,Summer,0,6.468219683222689
2016-06-11,376.689830104,70.37688888888889,0.5301666666666667,9.976236111111112,1010.247625,3.953319444444445,119.76805555555556,0.0,0.1449861111111111,Clear,6,11,Saturday,1,2,Summer,0,5.934073303499404
2016-06-12,382.334378851,68.01022222222223,0.5318333333333334,9.98147222222222,1019.8393888888888,4.196638888888889,187.7375,0.0,0.0999444444444444,Clear,6,12,Sunday,1,2,Summer,0,5.948907660122858
2016-06-13,678.108949573,70.24705555555555,0.5451666666666667,9.993152777777777,1025.0118055555556,5.712958333333333,169.15972222222223,0.0,0.0551944444444444,Clear,6,13,Monday,0,2,Summer,0,6.520781570611911
2016-06-14,565.601890802,71.12341666666667,0.6440277777777778,9.805458333333334,1021.4242222222222,7.366138888888889,185.06805555555556,0.0,0.0597222222222222,Clear,6,14,Tuesday,0,2,Summer,0,6.33965692449286
2016-06-15,584.982156357,73.60697222222221,0.5735694444444445,9.848958333333334,1009.0453611111112,8.585125,237.78333333333333,0.0029483333333333,0.0953611111111111,Clear,6,15,Wednesday,0,2,Summer,0,6.373289339210674
2016-06-16,727.654798689,65.31598611111112,0.5722361111111111,9.971402777777778,1009.3494861111112,6.134861111111111,281.19305555555553,0.0003544444444444,0.1414444444444444,Clear,6,16,Thursday,0,2,Summer,0,6.591200092683677
2016-06-17,726.909727859,65.787875,0.5694305555555556,9.942805555555555,1011.7526805555556,3.158097222222222,214.36944444444444,0.0,0.0965416666666666,Clear,6,17,Friday,0,2,Summer,0,6.590177040314345
2016-06-18,883.765941002,68.41422222222222,0.5635694444444445,9.9135,1016.0536944444444,4.466430555555555,99.81527777777778,0.0,0.0657777777777777,Clear,6,18,Saturday,1,2,Summer,0,6.7853231365845925
2016-06-19,700.502178127,69.45652777777778,0.5760416666666667,9.9125,1021.3158333333332,3.477416666666666,204.53055555555557,0.0,0.0565416666666666,Clear,6,19,Sunday,1,2,Summer,0,6.553224004494217
2016-06-20,609.880517644,71.783,0.5790416666666667,9.957708333333333,1021.6109305555556,6.121013888888889,198.76388888888889,0.0,0.0746944444444444,Clear,6,20,Monday,0,2,Summer,0,6.4149013879113035
2016-06-21,631.232396704,71.68577777777779,0.62075,9.98388888888889,1017.0864583333332,8.933736111111111,183.05416666666667,0.0002497222222222,0.1145138888888888,Clear,6,21,Tuesday,0,2,Summer,0,6.449257042859584
2016-06-22,594.237079262,71.127625,0.8114861111111111,8.964458333333333,1013.7133472222222,7.694722222222222,180.26111111111112,0.0077172222222222,0.4445277777777778,Clear,6,22,Wednesday,0,2,Summer,0,6.388959778725673
2016-06-23,695.339083231,73.05159722222223,0.6788472222222222,9.60125,1011.3199166666666,5.322277777777778,264.0138888888889,0.0020380555555555,0.326,Partly Cloudy,6,23,Thursday,0,2,Summer,0,6.545836730246896
2016-06-24,724.227569413,71.63154166666666,0.5824027777777777,9.929916666666667,1015.10225,5.025194444444444,284.2013888888889,0.0,0.1213055555555555,Clear,6,24,Friday,0,2,Summer,0,6.586485494447395
2016-06-25,564.587059303,70.31061111111111,0.7574861111111111,9.528958333333334,1013.2039166666666,7.209263888888889,202.26805555555555,0.0106491666666666,0.22175,Clear,6,25,Saturday,1,2,Summer,0,6.337864234729037
2016-06-26,512.317360637,66.11406944444444,0.5750555555555555,9.97802777777778,1013.8841666666666,9.289541666666668,289.0527777777778,0.0001291666666666,0.1541944444444444,Clear,6,26,Sunday,1,2,Summer,0,6.240894290613256
